season_x,name,position,team_x,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,opp_team_name,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,was_home,yellow_cards,GW,season_weight,predicted_points,is_selected,value
2024-25,Jhon Durán,FWD,Aston Villa,0,1,31,0,5.5,-1.0,-1.0,2,1,7.3,37.0,Unknown,53,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,30.0,7,0.0,0.0,0.0,,0,0.0,0.5,7.03,is_selected_36,6.0
2024-25,Joe Gauci,GK,Aston Villa,0,0,0,0,0.0,-1.0,-1.0,0,0,0.0,0.0,Unknown,0,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.5,0.0,is_selected_37,4.0
2024-25,Kortney Hause,DEF,Aston Villa,0,0,0,0,0.0,-1.0,-1.0,0,0,0.0,0.0,Unknown,0,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.5,0.0,is_selected_38,4.0
2024-25,Samuel Iling-Junior,MID,Aston Villa,0,0,0,0,0.0,-1.0,-1.0,0,0,0.0,0.0,Unknown,0,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.5,0.0,is_selected_39,5.5
2024-25,Boubacar Kamara,MID,Aston Villa,0,0,0,0,0.0,-1.0,-1.0,0,0,0.0,0.0,Unknown,0,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.5,0.0,is_selected_40,5.0
2024-25,Kaine Kesler-Hayden,DEF,Aston Villa,0,0,0,0,0.0,-1.0,-1.0,0,0,0.0,0.0,Unknown,0,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.5,0.0,is_selected_41,4.0
2024-25,Ezri Ngoyo,DEF,Aston Villa,0,0,17,0,15.1,-1.0,-1.0,3,0,4.9,24.6,Unknown,180,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,9.0,3,0.0,0.0,0.0,,0,0.0,0.5,2.64,is_selected_42,4.5
2024-25,Ian Maatsen,DEF,Aston Villa,0,0,5,0,25.6,-1.0,-1.0,1,0,3.9,13.2,Unknown,30,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,,0,0.0,0.5,1.83,is_selected_43,5.0
2024-25,Filip Marschall,GK,Aston Villa,0,0,0,0,0.0,-1.0,-1.0,0,0,0.0,0.0,Unknown,0,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.5,0.0,is_selected_44,4.0
2024-25,Emiliano Romero,GK,Aston Villa,0,0,21,0,0.0,-1.0,-1.0,3,0,4.4,44.2,Unknown,180,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,,0,0.0,0.5,4.04,is_selected_45,5.0
2024-25,John McGinn,MID,Aston Villa,0,0,16,1,4.6,-1.0,-1.0,1,0,2.2,2.2,Unknown,125,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,15.0,5,0.0,0.0,0.0,,0,0.0,0.5,4.39,is_selected_46,5.5
2024-25,Tyrone Mings,DEF,Aston Villa,0,0,0,0,0.0,-1.0,-1.0,0,0,0.0,0.0,Unknown,0,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.5,0.0,is_selected_47,4.5
2024-25,Kosta Nedeljković,DEF,Aston Villa,0,0,7,0,5.5,-1.0,-1.0,2,0,2.6,19.8,Unknown,82,-1.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,,0,0.0,0.5,1.63,is_selected_48,4.0
